1;True;ピンチ○;0;ピンチに強い
2;True;打たれ強い;0;打たれても要所をしめて、なかなか失点しない
3;True;ケガしにくい;0;鉄人
4;True;ノビ;0;球にノビがある
5;True;キレ;0;変化球がキレる
6;True;クイック○;0;クイックが巧く、盗塁させない
7;True;回復○;0;回復が早く、登板間隔が短くできる。中４日とかでローテーションできる
8;True;安定度○;0;安定感がある
9;True;ピンチ×;2;ピンチで打たれやすい
10;True;打たれ弱い;2;打たれると連打されて失点につながりやすい
11;True;ケガしやすい;2;肩・ひじを痛めやすい。投球数を数えて管理した方が良い。
12;True;回復×;2;回復に時間がかかり、登板間隔が長い
13;True;重い球;0;球質が重い。バットにあたっても飛びにくい。
14;True;軽い球;2;球質が軽い。バットにあたると飛びやすい。
15;True;四球;2;四球を出しがち
16;True;尻上がり;0;後半に向かって調子があがっていく
17;True;ｽﾛｰｽﾀｰﾀｰ;2;立ち上がりに難がある
18;True;奪三振;0;奪三振ショーを魅せる
19;True;短気;2;気が短い
20;True;ﾎﾟｰｶｰﾌｪｲｽ;1;無表情w
21;True;牽制;1;牽制が巧い
22;True;シュート回転;2;ストレートがシュート回転してド真ん中にいってしまいがち
23;True;勝ち運;0;調子が悪くてもなぜか良く勝つ、ツいてる人
24;True;負け運;2;好投してるのに良く負ける可哀想な人
25;False;チャンス○;0;チャンスに滅法強い
26;False;チャンス×;2;チャンスでテンパる★
27;False;初球;0;初球から打っていける
28;False;流し打ち;0;流し打ちができる
29;False;引っ張り;1;引っ張って強い打球が打てるが、外角の球を引っ掛けてしまいがち
30;False;ケガしにくい;0;鉄人
31;False;ケガしやすい;2;ハムストを切ったりする
32;False;広角打法;0;広角に全方向に打ち分けることができる
33;False;盗塁;0;盗塁できる
34;False;走塁;0;走塁が巧い
35;False;送球○;0;送球が巧い
36;False;送球×;2;送球に難あり
37;False;内野安打;0;内野ゴロを内野安打にできる確率が高い
38;False;ﾑｰﾄﾞﾒｰｶｰ;1;チームの雰囲気を良くするが、たまにうるさいw
39;False;ムラッ気;1;気分がノってるときとノってないときがあり、結果にあらわれる
40;False;粘り男;0;三振しにくい。ファールで粘れる男
41;False;バント;0;バントが巧い
42;False;巨乳;1;おっぱいが大きいが、内角球をさばくときに邪魔になる
43;False;乾燥;2;とにかく、乾いている
44;True;ガラスの肩;2;肩が壊れやすい
45;False;三十路;2;男は30歳からが良い感じ♪
46;True;一発病;2;ホームラン打たれやすい
47;False;選球眼;0;選球眼が良い。四球をとれる
48;True;闘志;0;星野仙一みたいな
49;False;尾城　直晃;0;常に進化を目指す　ネバーギブアップ魂
50;False;内角×;2;内角のボールを打つのが苦手
51;False;花粉症;2;風邪じゃないよ、現実を受け入れよう？
52;False;バント思考;0;1試合1回はバントしたい
53;False;鬼引っ張り;0;引っ張りすぎる
54;False;ﾉｰｽﾃｯﾌﾟ;0;ノーステップ打法（T-岡田型）
